combo,n_factors,Daily Recent 1y_edge,Daily Recent 1y_n,Daily Recent 1y_win,Daily Prior 2y_edge,Daily Prior 2y_n,Daily Prior 2y_win,Weekly Recent 1y_edge,Weekly Recent 1y_n,Weekly Recent 1y_win,Weekly Prior 2y_edge,Weekly Prior 2y_n,Weekly Prior 2y_win,windows_tested,windows_positive,mean_edge,worst_edge,min_n,verdict
A2+B2+C1+D1+V1,5,4.304498425316907,8,75.0,0.02281581649854465,23,43.47826086956522,-6.417356272342767,2,0.0,4.256675039616509,3,100.0,0,0,,,0.0,Not enough data
A2+B2+C2,3,2.088758342496349,7,71.42857142857143,-0.03914789652702404,7,42.857142857142854,1.4532252440040396,2,50.0,1.5998101977822914,1,100.0,0,0,,,0.0,Not enough data
A2+B2+C2+D1,4,3.7093966324598657,1,100.0,-1.5803140313573592,2,0.0,7.573319101571052,1,100.0,,0,,0,0,,,0.0,Not enough data
A2+B2+C2+D1+V1,5,,0,,,0,,7.573319101571052,1,100.0,,0,,0,0,,,0.0,Not enough data
A2+B2+C2+V1,4,3.008278592043124,1,100.0,,0,,1.4532252440040396,2,50.0,,0,,0,0,,,0.0,Not enough data
A2+B2+C3+D1,4,-1.6963436569234471,5,20.0,-1.0996052481153942,16,25.0,3.450270598270805,1,100.0,9.413099785070845,2,100.0,0,0,,,0.0,Not enough data
A2+B2+C3+D1+V1,5,-2.0466155741981455,1,100.0,-0.15753736052236514,3,66.66666666666666,,0,,9.413099785070845,2,100.0,0,0,,,0.0,Not enough data
A2+B2+C3+V1,4,1.2973798007145463,13,76.92307692307693,-1.3310231457278183,13,53.84615384615385,,0,,3.2498316914741467,4,75.0,0,0,,,0.0,Not enough data
A2+B3+C2,3,,0,,,0,,,0,,,0,,0,0,,,0.0,Not enough data
A2+B3+C2+D1,4,,0,,,0,,,0,,,0,,0,0,,,0.0,Not enough data
A2+B3+C2+D1+V1,5,,0,,,0,,,0,,,0,,0,0,,,0.0,Not enough data
A2+B3+C2+V1,4,,0,,,0,,,0,,,0,,0,0,,,0.0,Not enough data
A2+B3+C3,3,,0,,,0,,,0,,,0,,0,0,,,0.0,Not enough data
A2+B3+C3+D1,4,,0,,,0,,,0,,,0,,0,0,,,0.0,Not enough data
A2+B3+C3+D1+V1,5,,0,,,0,,,0,,,0,,0,0,,,0.0,Not enough data
A2+B3+C3+V1,4,,0,,,0,,,0,,,0,,0,0,,,0.0,Not enough data
A2+C2,2,2.088758342496349,7,71.42857142857143,-0.03914789652702404,7,42.857142857142854,1.4532252440040396,2,50.0,1.5998101977822914,1,100.0,0,0,,,0.0,Not enough data
A2+C2+D1,3,3.7093966324598657,1,100.0,-1.5803140313573592,2,0.0,7.573319101571052,1,100.0,,0,,0,0,,,0.0,Not enough data
A2+C2+D1+V1,4,,0,,,0,,7.573319101571052,1,100.0,,0,,0,0,,,0.0,Not enough data
A2+C2+V1,3,3.008278592043124,1,100.0,,0,,1.4532252440040396,2,50.0,,0,,0,0,,,0.0,Not enough data
A2+C3+D1,3,-1.6094363577165989,7,28.57142857142857,-1.119384481194591,24,33.33333333333333,3.450270598270805,1,100.0,9.372305388894565,3,100.0,0,0,,,0.0,Not enough data
A2+C3+D1+V1,4,-2.0466155741981455,1,100.0,-1.719205305834751,7,42.857142857142854,,0,,9.372305388894565,3,100.0,0,0,,,0.0,Not enough data
A2+C3+V1,3,0.54852405094782,19,63.1578947368421,-1.3851815149933666,26,46.15384615384615,,0,,2.0344881050117407,7,57.14285714285714,0,0,,,0.0,Not enough data
B1+C1,2,,0,,,0,,,0,,1.5603601123714244,3,100.0,0,0,,,0.0,Not enough data
B1+C1+D1,3,,0,,,0,,,0,,1.5603601123714244,3,100.0,0,0,,,0.0,Not enough data
B1+C1+D1+V1,4,,0,,,0,,,0,,,0,,0,0,,,0.0,Not enough data
B1+C1+V1,3,,0,,,0,,,0,,,0,,0,0,,,0.0,Not enough data
B1+C2,2,,0,,,0,,,0,,,0,,0,0,,,0.0,Not enough data
B1+C2+D1,3,,0,,,0,,,0,,,0,,0,0,,,0.0,Not enough data
B1+C2+D1+V1,4,,0,,,0,,,0,,,0,,0,0,,,0.0,Not enough data
B1+C2+V1,3,,0,,,0,,,0,,,0,,0,0,,,0.0,Not enough data
B2+C2+D1+V1,4,-4.657513088470853,2,50.0,-1.328717856915273,5,60.0,7.573319101571052,1,100.0,-11.208585225283837,1,0.0,0,0,,,0.0,Not enough data
B2+C2+V1,3,-0.09870020458263731,11,63.63636363636363,-0.45778829478350147,13,61.53846153846154,1.4532252440040396,2,50.0,-7.500398707355588,2,0.0,0,0,,,0.0,Not enough data
B2+C3+D1+V1,4,-0.4584348027070357,15,53.333333333333336,-0.37415732909567384,28,53.57142857142857,11.76305059220142,2,100.0,6.764276563975499,4,100.0,0,0,,,0.0,Not enough data
B3+C2,2,,0,,,0,,,0,,,0,,0,0,,,0.0,Not enough data
B3+C2+D1,3,,0,,,0,,,0,,,0,,0,0,,,0.0,Not enough data
B3+C2+D1+V1,4,,0,,,0,,,0,,,0,,0,0,,,0.0,Not enough data
B3+C2+V1,3,,0,,,0,,,0,,,0,,0,0,,,0.0,Not enough data
B3+C3,2,,0,,,0,,,0,,12.308925293097543,1,100.0,0,0,,,0.0,Not enough data
B3+C3+D1,3,,0,,,0,,,0,,,0,,0,0,,,0.0,Not enough data
B3+C3+D1+V1,4,,0,,,0,,,0,,,0,,0,0,,,0.0,Not enough data
B3+C3+V1,3,,0,,,0,,,0,,,0,,0,0,,,0.0,Not enough data
C2+D1+V1,3,-4.657513088470853,2,50.0,-1.328717856915273,5,60.0,7.573319101571052,1,100.0,-11.208585225283837,1,0.0,0,0,,,0.0,Not enough data
C2+V1,2,-0.09870020458263731,11,63.63636363636363,-0.45778829478350147,13,61.53846153846154,1.4532252440040396,2,50.0,-7.500398707355588,2,0.0,0,0,,,0.0,Not enough data
