combo,n_factors,hold,tickers,trades,win_rate,avg_return,median_return,avg_excess,total_return,max_drawdown,sharpe,sortino,avg_hold,t_stat,low_n
A2+C1+D1+V1,4,4,444,45,60.0,2.209440032700915,1.1290319254215149,1.4530027419561922,99.42480147154117,-8.786247392631202,2.81928528697363,8.150446317128594,4.0,1.6479005469856618,False
A2+B2+C1+V1,4,4,444,45,73.33333333333333,1.9936752009762324,1.763122803982358,1.327931985666117,89.71538404393046,-11.870743124879695,3.038507967738469,5.11187390009745,4.0,1.7671726693726106,False
A2+C1+V1,3,4,444,136,61.029411764705884,1.6213812592367494,1.0025706028901136,1.055249786251422,220.5078512561979,-25.40728362443698,2.429574857462586,5.11519804629709,4.0,2.393127069446738,False
A1+B1+D1+V1,4,4,444,47,63.829787234042556,0.8262557104910356,0.7517808424779164,0.9985733902940724,38.83401839307867,-21.366265057814484,1.4532538600748401,2.075900747789982,4.0,1.712287665287896,False
A2+B3+C1+V1,4,4,444,91,54.94505494505495,1.4372798594754663,0.3587388319222331,0.9204069403870125,130.79246721226744,-17.780643602402215,2.1286148633343474,4.949331237044478,4.0,1.6839176634652964,False
A2+B3+C1+D1+V1,5,4,444,37,56.75675675675676,1.5243702484100456,0.9675218761229006,0.8364631347430642,56.401699191171694,-10.56007260733342,2.1471692298670133,5.334896807729135,4.0,0.9201497341457562,False
A1+B1+D1,3,4,444,76,59.210526315789465,0.6199431584529225,0.5060458234171181,0.7757551242167258,47.115680042422106,-25.108959568631324,1.108819752505783,1.7369728359427536,4.0,1.765353024883637,False
B2+C3+V1,3,4,444,83,57.831325301204814,0.9422388648049699,0.9361530137432054,0.7749465036938255,78.2058257788125,-38.032993592700606,1.8645113323976479,3.633620458149821,4.0,1.7066659065478649,False
B1+C3,2,4,444,122,61.47540983606557,1.3594913988252313,1.3220302940640638,0.7543861634766278,165.85795065667824,-26.78043461299889,2.271359702625642,3.487089661658412,4.0,1.8385708579148399,False
A1+B2+C1,3,4,444,147,55.10204081632652,0.8452003308532071,0.7631368084902422,0.5239785364169918,124.24444863542143,-100.80592126014119,1.2834042624629578,2.4737399730540868,4.0,1.22368225748474,False
C3,1,4,444,415,56.3855421686747,0.8947327840314515,0.5404387544735016,0.4799152873604537,371.3141053730524,-73.00334877144546,1.4855199332579063,2.4368257104014357,4.0,2.0659657450250335,False
C3+V1,2,4,444,133,57.14285714285714,0.6987196275161017,0.9361530137432054,0.46928629292837915,92.92971045964154,-72.21576963722697,1.2083849037152459,1.9061440486994798,4.0,1.2213208158760451,False
B2+C1+V1,3,4,444,281,59.430604982206404,0.8345753768221069,0.6394488480687709,0.45051263093716637,234.51568088701205,-48.68848178157551,1.194271002810184,1.8855560689387372,4.0,1.3369435629629327,False
C3+D1,2,4,444,81,54.32098765432099,0.8024639687252912,0.8064477002168742,0.41412901012977943,64.9995814667486,-19.096245498357238,1.322931656556007,2.515794875854776,4.0,0.7633677500037653,False
A2+C3,2,4,444,60,58.333333333333336,0.8535452571847463,0.5277129138477908,0.3948371096217489,51.212715431084774,-16.584799972917683,1.769356041402405,2.5625011955601398,4.0,0.8236168806523404,False
B2+C3,2,4,444,290,54.82758620689655,0.7416012518396775,0.42605592121285246,0.39309167291826624,215.06436303350648,-66.14112956301722,1.2286195895850127,2.0475680330215416,4.0,1.3854387523843308,False
A2+B3+C1,3,4,444,271,53.13653136531366,0.7889404424362241,0.2800756189950447,0.3531927977204899,213.80285990021673,-65.17923915905787,1.1272222399366216,2.191377742912046,4.0,1.0680538517150935,False
A2+B2+C1+D1,4,4,444,78,58.97435897435898,0.9174692910065625,0.6554513150260929,0.3205628237562913,71.56260469851188,-31.25616378849272,1.3992082550216682,2.5305667929678006,4.0,0.6259192578729291,False
B2+C3+D1,3,4,444,52,51.92307692307693,0.5965887965985363,0.2581075177461591,0.31393217917421495,31.022617423123883,-22.403420578263795,1.0164849724367704,1.863292950066633,4.0,0.4659310348343785,False
