combo,n_factors,hold,tickers,trades,win_rate,avg_return,median_return,avg_excess,total_return,max_drawdown,sharpe,sortino,avg_hold,t_stat,low_n
A1+B3,2,4,40,88,67.04545454545455,9.11485218051351,5.1451954960693795,5.957146778751357,802.1069918851889,-77.22608071975401,3.652972495515855,11.102245405832218,4.0,3.0476442753006707,False
A1,1,4,40,119,61.34453781512605,7.372901526950482,3.2864331363707247,4.667383734039897,877.3752817071074,-132.00377607430192,3.1425232143311534,10.034615172093803,4.0,2.966783759512654,False
A1+B3+D1,3,4,40,59,64.40677966101694,7.7347658164436535,3.872321225291681,4.538706573090104,456.35118317017555,-71.86829239129186,3.0450222589877813,8.592050636903858,4.0,1.879217723568473,False
B3,1,4,40,881,61.18047673098751,5.68272383663703,3.2179254060212146,4.5116427319490535,5006.479700077223,-889.272406621884,2.801690709324354,6.733771948714879,4.0,8.783597079842082,False
B1+D1,2,4,40,72,63.888888888888886,7.666948808365214,4.51340870964425,4.40524166690866,552.0203142022955,-101.16391904593094,3.871277797083854,17.194584230410584,4.0,2.629053720548584,False
B3+D1,2,4,40,628,61.146496815286625,5.328511610232705,3.0756649766089295,4.274115956246556,3346.305291226139,-569.8708667091246,2.7753982256956657,6.8608588641316475,4.0,7.383667870892258,False
A1+D1,2,4,40,61,62.295081967213115,7.276209839046334,2.7221213364218877,4.166718051463869,443.84880018182633,-77.47430876197929,2.890315293190653,8.448336287661665,4.0,1.7731557930577289,False
A1+V1,2,4,40,31,54.83870967741935,6.595169678575447,5.196244770653459,4.055441145716984,204.45026003583882,-47.0917691001437,2.832415828361412,6.434909817995836,4.0,1.347786536533224,False
B3+D1+V1,3,4,40,167,53.89221556886228,4.6265293011663395,1.8304284765542431,3.706980322443856,772.6303932947789,-405.1939248291003,2.0698223319980307,5.0342144030733795,4.0,2.875489119581849,False
A2,1,4,40,83,61.44578313253012,4.914375193008284,3.021212491122159,3.654212905570644,407.89314101968756,-58.73613710628245,3.2059541562766216,9.63623711764495,4.0,2.98545341122325,False
B1,1,4,40,264,65.15151515151516,6.133004948452159,3.270724077396967,3.508885957283802,1619.11330639137,-131.3140701564561,3.941096081386986,14.095001114739794,4.0,5.160856050335009,False
