combo,n_factors,hold,tickers,trades,win_rate,avg_return,median_return,avg_excess,total_return,max_drawdown,sharpe,sortino,avg_hold,t_stat,low_n
B2+C1+V1,3,8,444,40,62.5,3.791191336105796,4.247206046077643,2.960390035021887,151.64765344423182,-45.45340237518929,1.478414184916453,2.930768860046043,8.0,1.2680564267165926,False
A2+B3,2,8,444,78,62.82051282051282,3.3410899118766215,2.7314438772694993,1.983836662236537,260.60501312637643,-71.08673253239124,1.2238481569733857,2.2665550389270965,8.0,1.156340672527593,False
A1+B3+V1,3,8,444,246,57.3170731707317,2.4565552773493744,1.8107944520700932,1.9473200021100596,604.3125982279461,-163.92555832389615,0.8639014194063359,1.838576650848283,8.0,1.980911639757295,False
A1+V1,2,8,444,327,59.021406727828754,2.3244310973001263,1.8492497321755417,1.5910246134256611,760.0889688171413,-199.79721507767087,0.8841610089174378,1.8133614574876638,8.0,2.026342976188388,False
A1+B3+D1+V1,4,8,444,144,59.72222222222222,2.419332065753606,1.8107944520700932,1.417099992853161,348.3838174685193,-156.0838974215609,0.7418800878049104,1.6367635886528171,8.0,0.9761067963010118,False
C1+V1,2,8,444,124,54.83870967741935,2.1606340932656822,2.5784979097585885,1.3835761430099354,267.9186275649446,-138.085488997231,0.7961323338911244,1.445135960807652,8.0,1.003409467045661,False
A1+D1+V1,3,8,444,163,59.50920245398773,2.166098188994041,1.7152771985753066,1.200091730138806,353.0740048060287,-193.0586160663041,0.6857533748532743,1.517069384020852,8.0,0.9070078573611637,False
A2+D1+V1,3,8,444,135,53.333333333333336,2.4721707005885363,1.7036315052145905,1.1169748556129564,333.74304457945243,-175.3461593795215,0.832885169996072,1.6336878348549666,8.0,0.8108479710765427,False
A2+B2,2,8,444,725,55.03448275862068,2.509096147748044,1.5724946991549977,1.1071304334107959,1819.0947071173318,-609.6423351174062,0.8521843925493718,1.640589699811381,8.0,1.8145585122781842,False
A2+B1+D1+V1,4,8,444,50,56.00000000000001,2.66188216016999,2.586176226040686,1.0767865902446598,133.0941080084995,-60.71167142993175,1.227616944887113,2.8236730732855118,8.0,0.6581024917284064,False
A2+B2+V1,3,8,444,172,52.90697674418605,1.7425360841553252,1.0001010810385316,1.0219255135472816,299.71620647471593,-172.24003117470542,0.5939349247599889,1.1312900526998877,8.0,0.8348105847139773,False
A2+V1,2,8,444,289,53.63321799307958,2.0419182878076994,1.4148611955518198,1.0040776049720634,590.1143851764251,-302.5266370465205,0.757879793351737,1.4490799957718647,8.0,1.160976928711321,False
A1+B3,2,8,444,850,55.64705882352941,2.3242194158733667,1.099249310613692,0.8715423512188889,1975.5865034923615,-786.6153121115058,0.7365134669580521,1.4251034094215345,8.0,1.4867660365367776,False
A2+B1+V1,3,8,444,71,52.112676056338024,2.1573106305054583,2.0078799348451244,0.8218429285010814,153.16905476588752,-87.41013308526237,1.0424345992737216,2.289269035817194,8.0,0.6330762446210132,False
A2+B2+D1+V1,4,8,444,69,46.3768115942029,1.8210555922218474,-0.5485211792248345,0.7678103248194807,125.65283586330747,-139.95159275058032,0.5401339696019227,1.103496781046173,8.0,0.3540780167369801,False
A2+B2+D1,3,8,444,267,52.43445692883895,2.0341079240934903,0.8172055555753843,0.7580774357044517,543.1068157329619,-303.18633642777263,0.7066892061847326,1.4258383307790081,8.0,0.7828520845266358,False
A1,1,8,444,1276,57.36677115987461,2.3841453716525125,1.6376619669868377,0.7138748381528759,3042.1694942286063,-1073.6098570381625,0.8031361757304079,1.4657471287839439,8.0,1.5734853815061272,False
B3+C1+V1,3,8,444,84,51.19047619047619,1.3841782633418191,2.0715691770989655,0.6327123849090056,116.27097412071281,-103.84767336360481,0.4967334572742006,0.8789293969013168,8.0,0.3703484188177163,False
B2+V1,2,8,444,1549,55.71336346029696,2.3050045194849273,1.3685466361148964,0.5046370869360767,3570.4520006821526,-1266.9172791427861,0.8736175069732182,1.763554899099234,8.0,1.3794930030147137,False
