combo,n_factors,hold,tickers,trades,win_rate,avg_return,median_return,avg_excess,total_return,max_drawdown,sharpe,sortino,avg_hold,t_stat,low_n
C1+D1+V1,3,10,40,41,65.85365853658537,4.6816128657652225,2.042840394300037,3.0191448873425126,191.94612749637412,-27.612057755533943,2.1122156888875767,5.031331006112683,10.0,1.9917703495263435,False
B3+D1+V1,3,10,40,601,62.562396006655575,3.6546706505020334,2.5645993636661224,2.8689482987531436,2196.4570609517223,-450.34435036011473,1.5545310520917928,2.9439149181158366,10.0,6.179456541129278,False
B3+D1,2,10,40,2389,59.89953955629971,3.3560249701952,1.6903529911570083,2.663251445627864,8017.543653796332,-695.7457777066352,1.579729727862027,3.5074256558824577,10.0,12.727338704184646,False
A2+B3+D1,3,10,40,44,63.63636363636363,4.332971948589622,3.0500087768117514,2.658421227089214,190.65076573794335,-25.540616058637553,2.3265877708222753,5.238481535839564,10.0,2.316721290372223,False
B3+C1+D1+V1,4,10,40,38,65.78947368421053,4.146092674541301,2.503591689237366,2.6428799549830964,157.55152163256946,-26.18781135363578,1.9947237085990073,4.460321732504763,10.0,1.7390606672812041,False
A2+C1,2,10,40,53,58.490566037735846,3.3552166711209805,1.4412751289915673,2.5622683267184034,177.82648356941198,-56.63521066015696,1.624548947708764,4.876870183697734,10.0,2.1519207567427703,False
B3+V1,2,10,40,790,60.63291139240506,3.299900058976656,2.1819270178746146,2.478288839097714,2606.9210465915585,-521.0546074851812,1.4219623295317465,2.7130703849045648,10.0,6.206708634341639,False
B3,1,10,40,3099,58.66408518877058,3.206081429675637,1.4438127790178572,2.4616175812175767,9935.646350564799,-1021.2361806857331,1.492606351593215,3.280962787168785,10.0,13.286075936129988,False
D1+V1,2,10,40,1254,60.76555023923444,3.238702545704931,2.1092355940630108,2.2992550769900233,4061.332992313983,-617.5594810946087,1.518261498227971,2.8623798364454682,10.0,8.017951588909558,False
B3+C1+D1,3,10,40,178,57.865168539325836,3.562286531666229,0.8923754983622695,2.052021824331462,634.0870026365887,-115.9295202040451,1.9077008649832676,5.243685416955065,10.0,3.1535343711041106,False
C1+V1,2,10,40,69,57.971014492753625,3.11863364379693,0.7603945026813757,2.0360801374323936,215.18572142198815,-65.80128515338288,1.4419924528482397,2.9539679931157052,10.0,1.7729936671995923,False
V1,1,10,40,2006,59.57128614157527,2.7685265132113006,1.6075150946722283,1.8174138079669448,5553.664185501869,-718.8129909611114,1.379617577743502,2.6097181866115498,10.0,8.559680682613527,False
B3+C1,2,10,40,253,55.33596837944664,3.0434960563255204,0.6020576820383627,1.8156718981992306,770.0045022503566,-211.2472721448426,1.3285976856622546,2.9417989999982503,10.0,2.745456080168738,False
B3+C1+V1,3,10,40,58,58.620689655172406,2.8769469946661994,0.846436086656002,1.779911839521242,166.86292569063957,-58.92984101255734,1.331723115295237,2.6059989043395517,10.0,1.3945060868178483,False
B2+D1+V1,3,10,40,314,54.77707006369427,2.5562108083518558,1.376934869610308,1.760887159830949,802.6501938224827,-305.41619699582554,1.1767137456364043,2.1226748446527988,10.0,2.9962238454961825,False
D1,1,10,40,5680,57.183098591549296,2.492352704648181,1.1478827587296032,1.740659780112318,14156.56336240167,-1819.931881446115,1.2845132952403135,2.6391400809955727,10.0,14.322373448104049,False
C1+D1,2,10,40,216,56.018518518518526,3.106492573734003,0.5447688097865317,1.6861825066692786,671.0023959265446,-162.95347865048927,1.690446663213209,4.844602506074607,10.0,2.939833839551587,False
B1+V1,2,10,40,530,65.28301886792453,2.8275320792274052,1.9521205377850446,1.6065915329768383,1498.5920019905247,-102.15923957285715,1.8849966727743261,4.275340405923059,10.0,5.553060248488051,False
A2+B1,2,10,40,293,61.43344709897611,2.8040444582030153,1.691160900006915,1.5345327598654905,821.5850262534834,-179.44739231524142,1.680380665090903,3.971308648747982,10.0,3.576751374468784,False
B1+D1+V1,3,10,40,290,62.41379310344828,2.7663895337283075,1.6235534036004502,1.4363666784025595,802.2529647812092,-94.05720403029463,1.7781576037487934,4.437086665041818,10.0,3.5239803359772517,False
A1+B3,2,10,40,657,57.68645357686454,1.814771908463179,0.92421283934982,1.4168205058879975,1192.3051438603086,-395.46841936394407,0.8992542980361644,1.504993531528677,10.0,3.6577712120418533,False
A2+B1+D1,3,10,40,197,60.40609137055838,2.8984110519967228,1.3261790806121099,1.3254147849736864,570.9869772433544,-140.38675053774415,1.6200708680701619,4.1363871323284185,10.0,2.310645704682862,False
A1,1,10,40,989,55.20728008088979,1.7435106806176395,0.7696613753016526,1.2492899817673377,1724.3320631308454,-658.3983226483028,0.8622446010259399,1.535903905983897,10.0,4.015226665710394,False
B1,1,10,40,2222,58.550855085508545,2.090641443383638,1.0991178112051905,1.163257915482507,4645.405287198443,-505.27178191467027,1.3435106353938397,2.823254854289484,10.0,7.865611387193288,False
A1+B3+D1,3,10,40,453,57.17439293598234,1.3042512907173616,0.7697540987472484,1.1404427698954536,590.8258346949648,-361.78658011015494,0.6430681352199912,1.0249709600926822,10.0,2.4337042410842504,False
A2+D1,2,10,40,462,58.00865800865801,2.694893020934962,1.1107404218162258,1.125645520523162,1245.0405756719526,-323.7875081012089,1.4873584135162392,3.456051696554789,10.0,3.1680684461260693,False
C1,1,10,40,366,52.18579234972678,2.0332955764403073,0.19076378625179347,1.0908064818994228,744.1861809771524,-322.8868502857814,0.9528042218926709,2.0010266929150005,10.0,2.1350257395529746,False
B2+V1,2,10,40,627,52.95055821371611,1.9062428129719995,0.5773524365397914,1.0589946508417543,1195.2142437334437,-379.3712542974454,0.9739073756138132,1.8247990585118392,10.0,2.846278270356039,False
B1+D1,2,10,40,1266,57.187993680884674,1.9063918437885612,0.881663438401991,1.0140911052539858,2413.4920742363183,-362.13576912129383,1.2506807686890842,2.7484087225765523,10.0,5.285754511449862,False
A1+D1,2,10,40,570,57.01754385964912,1.2051049605445308,0.8429585680865399,0.9788798459754552,686.9098275103826,-533.7241676161923,0.5939139370800444,0.9567900786118084,10.0,2.3549351676495176,False
B2+D1,2,10,40,1901,52.81430825881115,1.6311774498291913,0.5719093075790891,0.9404021246770634,3100.868332125293,-1327.0016897199348,0.8421981534524083,1.5558332481785067,10.0,4.503910494797753,False
B2,1,10,40,4138,51.3774770420493,1.5831985262731976,0.24678119225891984,0.8921173969411035,6551.275501718492,-1982.2072167644826,0.8620518481531754,1.708307099181578,10.0,6.695591719638255,False
A2,1,10,40,1037,53.712632594021215,1.856674024069496,0.6752417918784535,0.8861648975465354,1925.3709629600673,-550.7181575983632,1.0733889026834984,2.500670873171067,10.0,3.7581589680247576,False
A1+B2,2,10,40,311,49.51768488745981,1.3078792934415824,-0.1831816145777782,0.6924141791253345,406.75046026033215,-296.2743073811137,0.6522948380576993,1.2901603524569294,10.0,1.2890129415480747,False
A2+B2,2,10,40,653,50.076569678407346,1.4061718699918648,0.002043467859783782,0.6196184791372938,918.2302311046877,-398.11060575051187,0.8094493335741951,1.9335293038381114,10.0,2.069596304260856,False
A1+B3+V1,3,10,40,217,57.14285714285714,0.9476614178705621,0.8087885691303713,0.6129302636297055,205.64252767791197,-315.14304136646933,0.40315294138057217,0.6186236704068511,10.0,0.7798321899945468,False
A2+B3,2,10,40,89,55.0561797752809,1.8510717523248197,1.4005006183675413,0.610142159524438,164.74538595690896,-92.4615812887669,1.0217406843151138,2.010530669673184,10.0,0.7270086503200431,False
A2+B2+D1,3,10,40,219,54.794520547945204,2.1122945801172026,0.6665142050049034,0.6006831178498568,462.5925130456674,-285.17351445590015,1.165860957698278,2.545552336262466,10.0,1.2295561465951153,False
A1+B3+D1+V1,4,10,40,148,56.75675675675676,0.7127782215678083,0.7516489065225734,0.5935548138142663,105.49117679203563,-286.557305837469,0.28723330434397437,0.44608495974302975,10.0,0.5875007027051857,False
A2+B2+D1+V1,4,10,40,41,53.65853658536586,1.9986345371230416,0.41750854683020344,0.5201814631888027,81.9440160220447,-50.87504993316625,1.0385481493593276,2.0144644669651077,10.0,0.4043742387161007,False
A1+D1+V1,3,10,40,180,56.666666666666664,0.6240914197923996,0.7563118382064058,0.45767316013697507,112.33645556263193,-350.29148072918144,0.2566427668457333,0.4031943405788353,10.0,0.5081850354858035,False
A1+V1,2,10,40,292,54.109589041095894,0.7079796202460914,0.5297248403938295,0.32847201520004476,206.7300491118587,-367.08016073472294,0.31671424934834985,0.4883838102560275,10.0,0.510365426510005,False
A2+D1+V1,3,10,40,92,54.347826086956516,1.801545441663211,0.8780265776453914,0.2478281218662014,165.74218063301544,-84.3727300427172,1.0512497084483183,2.064305519855245,10.0,0.3200466361538712,False
A2+B1+V1,3,10,40,56,62.5,1.6593473055554209,2.08835001973163,0.22178296467885278,92.92344911110357,-40.651091240593495,1.2380695312821401,2.110328855075871,10.0,0.2966731660090195,False
A2+B2+V1,3,10,40,108,49.074074074074076,0.7493625719621179,-0.27043600447610816,-0.003402279495433869,80.93115777190873,-60.64818749637419,0.46036754954591946,0.9413888990270816,10.0,-0.004705822273690935,False
