combo,n_factors,hold,tickers,trades,win_rate,avg_return,median_return,avg_excess,total_return,max_drawdown,sharpe,sortino,avg_hold,t_stat,low_n
B1+D1+V1,3,10,40,736,64.94565217391305,2.3831055385530986,2.599065560418132,1.1667098595610843,1753.9656763750806,-530.9143149991808,1.373628320820196,1.931031832230008,10.0,4.679752964064808,False
A1+B3+C1,3,10,40,38,57.89473684210527,0.8927313339019933,0.22165486465914874,1.0807617373261964,33.923790688275744,-14.676968650215851,1.269219319132313,2.0818306512184535,10.0,2.058236614333016,False
A2+B2+D1+V1,4,10,40,89,67.41573033707866,2.3264564787623683,2.606487277272234,1.0111195249367244,207.0546266098508,-99.52438050512554,1.5586372344603716,2.1744037074103657,10.0,1.794957630453928,False
B1+D1,2,10,40,2874,61.55184411969381,1.9874966612103349,1.90241061841828,0.9676455270437798,5712.065404318502,-2330.1922239329047,1.2213153550051221,1.8139037096708077,10.0,8.177862700785765,False
A2+D1+V1,3,10,40,158,60.75949367088608,1.488290274388834,2.045781352280576,0.837823597385863,235.14986335343576,-266.84411221174446,0.8440801158529136,1.136505103100842,10.0,1.7662598935436962,False
B1+V1,2,10,40,1243,61.70555108608205,1.830527710311027,1.9082265542265455,0.8012120794449379,2275.3459439166063,-796.384007052853,1.072730519513052,1.5329990505836173,10.0,4.069081106649902,False
B1,1,10,40,4763,59.94121352089019,1.4471694164915938,1.5765804225056395,0.6137736204768077,6892.867930749462,-3781.354002290487,0.8888311424078412,1.2599167323523612,10.0,6.4359292679389934,False
A2+B3+D1,3,10,40,80,48.75,1.4305299528046715,-0.13949264920819954,0.5445643412001424,114.44239622437374,-62.83610338925898,0.8189362839001577,1.80955420068027,10.0,0.62779597462651,False
D1+V1,2,10,40,2573,59.81344733773805,1.709353082590464,1.4901799083249698,0.42524441404701446,4398.165481505263,-1028.0379529330855,1.1154100774045528,1.731606039145381,10.0,3.3429908177959473,False
D1,1,10,40,12044,58.83427432746596,1.3636294364624961,1.2343905630317553,0.3934855118818882,16423.5529327543,-4445.700585103643,0.9381858154222792,1.461839702846434,10.0,6.986834616325879,False
A1+C1,2,10,40,72,51.388888888888886,0.022986710877949092,0.011138130674752101,0.37777737633237407,1.6550431832123347,-162.42552247268222,0.010088423562238795,0.01314287586250576,10.0,0.31102880583121933,False
A2+B2+C1,3,10,40,74,54.054054054054056,0.6412356909593633,0.6751631132083874,0.35562018912818816,47.451441130992876,-63.86966570893007,0.4167383861010146,0.866660799438574,10.0,0.4677989505789351,False
A2+B2+V1,3,10,40,206,62.62135922330098,1.553080032057987,1.9123235595431296,0.3460775381437871,319.9344866039453,-192.3219985063208,1.0080662158990517,1.4616979368419216,10.0,0.8044998593565865,False
A2+B1+D1,3,10,40,378,55.026455026455025,0.4993191945262423,1.056317426697094,0.29888607931544664,188.7426555309196,-832.0900507833347,0.26566590531985745,0.35284323754066094,10.0,0.9167066657531086,False
A2+D1,2,10,40,1122,56.32798573975044,0.8554056515699557,1.1198295970926782,0.23952099283268752,959.7651410614903,-1449.5882955647542,0.5183042984775831,0.7407784465166459,10.0,1.3417932224062268,False
B2+D1,2,10,40,4008,57.010978043912175,1.1255842530572484,0.9869599623132738,0.19725760580263613,4511.341686253451,-2303.92478068721,0.7687792900945712,1.276325633878722,10.0,2.036932409038108,False
V1,1,10,40,4171,57.588108367298005,1.2452700260964096,1.1993743365430616,0.13871013440818933,5194.021278848125,-1946.5041477425195,0.8030501054444026,1.1696714197403686,10.0,1.3565521016081656,False
B3+D1,2,10,40,4663,57.15204803774394,0.9567213868010022,0.8958435288345057,0.1309190648451577,4461.191826653073,-1901.3444049841276,0.7441658670650535,1.1572896549895475,10.0,1.5098382776278603,False
A2+B2+D1,3,10,40,648,57.407407407407405,0.9000951836176879,1.19194602502671,0.06781966073519244,583.2616789842618,-677.7486758997163,0.6022109465106936,0.903654214449802,10.0,0.31413257226237434,False
B2,1,10,40,8650,55.167630057803464,0.8243011134211935,0.7533587261094814,0.03796250894221737,7130.204631093324,-4920.356067560546,0.5587488264237079,0.8523604057385789,10.0,0.5641542133341438,False
B3,1,10,40,6122,55.99477295001633,0.8045773046052325,0.7774591864980714,0.022554154775207537,4925.6222587932325,-2717.9218907426553,0.6326035712721233,0.9836667623381751,10.0,0.30377870281719394,False
A2+C1,2,10,40,134,56.71641791044776,0.7427167426696221,1.0167900892945998,-0.012602179951217226,99.52404351772935,-126.88313013748196,0.47156502294562447,0.8537779415198596,10.0,-0.021500254797587905,False
B2+D1+V1,3,10,40,669,55.15695067264574,0.9801809443309334,0.857463359341324,-0.0246787231677225,655.7410517573944,-428.06307574023543,0.656120620964411,1.0543684338458663,10.0,-0.10011838296973052,False
A2+V1,2,10,40,357,57.98319327731093,0.866029027102894,1.4589407089222117,-0.03701183973509785,309.17236267573315,-456.433171309019,0.5152475374771461,0.7362055189372094,10.0,-0.10672364906153599,False
