combo,n_factors,hold,tickers,trades,win_rate,avg_return,median_return,avg_excess,total_return,max_drawdown,sharpe,sortino,avg_hold,t_stat,low_n
B1+D1,2,8,40,334,78.44311377245509,11.437891778598257,10.611651822285427,5.898578362692958,3820.2558540518176,-249.7653640373233,3.964442474090376,8.24377944602019,8.0,8.219768165706238,False
B1+D1+V1,3,8,40,135,73.33333333333333,9.477162740887985,9.21955535322815,4.119707928017599,1279.4169700198781,-169.90575935861497,3.243714467539719,6.57856384876814,8.0,3.725438424956371,False
A2+D1,2,8,40,73,64.38356164383562,7.575299414263115,7.04827670393319,3.749745798432163,552.9968572412074,-208.77680376220135,2.382655794161475,4.174414074491426,8.0,2.20226144383699,False
B1,1,8,40,699,70.67238912732475,8.047449983631466,6.987948023232487,3.3672779247438904,5625.167538558395,-792.1501639529042,2.647216997078833,4.926245610983911,8.0,6.429778622165052,False
A2+B2+D1,3,8,40,52,65.38461538461539,6.8012209530428,6.420908977912323,2.645589795359725,353.6634895582256,-117.91960887977761,2.423284190249786,4.219262218168495,8.0,1.4903464826651147,False
A1+D1+V1,3,8,40,36,66.66666666666666,5.702099509155274,2.695303765560617,2.6210771984384906,205.27558232958984,-63.80105913728493,2.019463017230033,3.428976460854502,8.0,1.1636950111638393,False
B1+V1,2,8,40,250,67.60000000000001,7.254839822334672,6.585547972091993,2.502267269246604,1813.709955583668,-469.45974883849766,2.242484184874097,4.135405255953163,8.0,2.7498684012484707,False
A1+B3+D1+V1,4,8,40,30,63.33333333333333,4.776123104587711,1.787946264228501,2.355011298927874,143.28369313763133,-79.8827741267619,1.6047051501423277,2.7611878423343175,8.0,0.9053204439725805,False
B2+C1,2,8,40,49,77.55102040816327,6.7648153776344975,7.77830049352298,2.0714869935792213,331.47595350409034,-27.007993303639388,3.2455463237235294,5.762489254559894,8.0,1.2757231039236019,False
A1+B3+V1,3,8,40,49,63.26530612244898,4.234451436332841,2.574320089817949,1.9450102894265657,207.48812038030923,-128.73052052868164,1.584473400573379,2.5062661142931044,8.0,1.1080818099727905,False
A1+V1,2,8,40,70,62.857142857142854,4.202493814328765,2.695303765560617,1.7379647444016493,294.1745670030135,-171.12658113655712,1.6244545706801505,2.836253437314729,8.0,1.2277395002557685,False
D1+V1,2,8,40,538,66.54275092936803,6.384362731322896,5.85125317173581,1.6907267378672344,3434.787149451718,-569.8164597324204,2.3521929006326463,4.17176683480773,8.0,3.1540663561057127,False
C1,1,8,40,97,72.16494845360825,6.391487544057142,5.4642690766654445,1.5410351575357135,619.9742917735429,-56.10520723520309,2.7802125648072877,6.854370353327157,8.0,1.2306456449641874,False
D1,1,8,40,2430,63.90946502057613,5.305650632182142,3.87263066277624,1.4056963121308361,12892.731036202606,-2305.335781203336,1.9410628544932509,3.4709294851807324,8.0,5.287245235416574,False
A1+B2,2,8,40,111,58.55855855855856,3.3479106550841213,2.73437452645286,1.2257719530550866,371.61808271433745,-207.5989388859679,1.3472043269249567,2.6438762408620637,8.0,1.0806503898816264,False
A1+B2+D1,3,8,40,35,65.71428571428571,5.3901489297125575,5.408235548142601,1.086801518899135,188.65521253993953,-33.91595909605077,2.656643329444881,6.827945910051386,8.0,0.6106500798991316,False
V1,1,8,40,889,62.99212598425197,5.213323146798101,4.176407014941426,1.0808571367806612,4634.644277503511,-1304.171939812656,1.8655280395229148,3.2911672336463327,8.0,2.506226547334471,False
B3+C1,2,8,40,48,66.66666666666666,6.0103820472802605,2.731186891973635,0.9995322415746325,288.4983382694525,-39.81583102559827,2.3853833242231377,7.892799284059952,8.0,0.5188493787368943,False
B2+D1,2,8,40,937,65.95517609391676,5.315772315396221,4.407814869408718,0.8828543247512795,4980.87865952626,-964.7845972780267,2.1023898907852563,3.3701086174024955,8.0,2.2124990946257888,False
B2+D1+V1,3,8,40,195,68.71794871794872,5.8456094293396905,6.78173813496748,0.8073930360398418,1139.8938387212397,-289.1535343656348,2.471136292889308,3.6511922193131308,8.0,1.0477140519892145,False
B3,1,8,40,1496,61.36363636363637,3.61868308725777,2.7168086356071273,0.5856165303657177,5413.549898537624,-2023.5290072646296,1.4303314900923694,2.4215639804954545,8.0,1.7774117530181623,False
B3+V1,2,8,40,261,61.68582375478927,3.824040715267395,2.816287441303286,0.5088366139022912,998.0746266847902,-290.4640245643871,1.5432382000374878,2.398971132889752,8.0,0.6515648400646001,False
B2,1,8,40,1920,60.78125,3.908372200881008,3.056277390857972,0.3546783738919141,7504.074625691535,-2387.4835980979265,1.5189692436498954,2.5763013212921737,8.0,1.228744331066468,False
A1,1,8,40,350,58.285714285714285,3.3144523312400462,2.1070008287152118,0.3375903839365352,1160.058315934016,-420.97461704491684,1.3942741573019368,2.697934632453612,8.0,0.5403191631909634,False
B3+D1+V1,3,8,40,189,59.25925925925925,3.6297979130463967,2.0661005710761473,0.2316229162369613,686.031805565769,-304.339244014758,1.481396970223457,2.4387740604336305,8.0,0.26103540346406784,False
A2,1,8,40,212,62.264150943396224,3.641205376192384,3.951894403009659,0.23050649407810522,771.9355397527854,-867.5166132828186,1.193783299759894,1.8845769199942894,8.0,0.22937029155566466,False
B3+D1,2,8,40,1125,57.599999999999994,3.0271856439788216,1.8791116261385374,0.21319281394632233,3405.5838494761742,-2145.7007801922073,1.1464684126706202,1.999758805878801,8.0,0.5442789929481501,False
B2+V1,2,8,40,348,60.91954022988506,4.033193344839087,4.339494826798234,0.05630733504417132,1403.5512840040021,-528.0412940384706,1.7549478193220318,2.9330828675284413,8.0,0.09785569620562139,False
A1+D1,2,8,40,198,54.54545454545454,3.450744173907335,0.6597392290872344,-0.03747409751606915,683.2473464336524,-267.2707672195398,1.3757454403549905,3.0783252102200476,8.0,-0.04178265906354633,False
A1+B3,2,8,40,236,58.05084745762712,3.32074421231605,1.6188120571121691,-0.11514148800206485,783.6956341065878,-364.10695871511115,1.4231567295695435,2.7986284594246307,8.0,-0.1520236263161502,False
A1+B3+D1,3,8,40,163,52.14723926380368,3.0343075699000788,0.37553665754946847,-0.2788829722064507,494.59213389371286,-323.1233402416567,1.1674402049533805,2.600333905122906,8.0,-0.2730153034291238,False
A2+B2,2,8,40,177,61.016949152542374,2.8186729061507685,3.31592182649514,-0.39038818230390127,498.905104388686,-705.8247854606564,0.9961363999842262,1.6155685667334791,8.0,-0.3966011698575771,False
A2+B2+V1,3,8,40,31,45.16129032258064,-2.133105941006745,-1.3685188946612183,-3.063957332556731,-66.1262841712091,-194.35536676788158,-0.7796775506813277,-1.0342583445405331,8.0,-1.859429631201934,False
